method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.5750815091766345,0.37534891471899345,0.9077287066246057,0.8943217665615142,0.11060713391386748,0.11060713391386748,23.11471989333497,0.19803530518670934,0.2658101342401411
dpmlm_shap,"{'epsilon': 25, 'k': 2}",test,0.538205312505378,0.27952755905511806,,0.9133858267716535,0.1298419544855812,,,,
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.48632692907287717,0.3071491063617048,0.8935331230283912,0.8746056782334385,0.12473534847894677,0.12473534847894677,28.455320797082244,0.30526884115635183,0.35219151201533416
dpmlm_shap,"{'epsilon': 25, 'k': 3}",test,0.4268353278869962,0.2362204724409449,,0.8818897637795275,0.18996581305198054,,,,
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.39482567002163055,0.23103362079740034,0.8761829652996845,0.8414826498422713,0.13839905388206714,0.13839905388206714,33.502927034322795,0.39432817579098994,0.4384983554682202
dpmlm_shap,"{'epsilon': 25, 'k': 5}",test,0.30282726692550105,0.15354330708661418,,0.8661417322834645,0.2772523242192095,,,,
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.3388221803955558,0.18641419822522187,0.8588328075709779,0.8257097791798107,0.1470114184243822,0.1470114184243822,36.516520616760616,0.43083045560411803,0.4845110502608307
dpmlm_shap,"{'epsilon': 25, 'k': 7}",test,0.2714559816072528,0.14960629921259844,,0.8503937007874017,0.32336418810200895,,,,
dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.2798867780668834,0.13654543182102238,0.8493690851735016,0.8123028391167192,0.1543826969334568,0.1543826969334568,39.053496365846826,0.5027215917092912,0.5418326572146095
dpmlm_shap,"{'epsilon': 25, 'k': 10}",test,0.2179987978108437,0.1062992125984252,,0.8267716535433071,0.3721434607792478,,,,
dpmlm_shap,"{'epsilon': 25, 'lambda': 0.99}",,0.6527783520627266,0.5524309461317335,0.9621451104100947,0.944006309148265,0.08394829559871451,0.08394829559871451,8.954369454098197,0.09699533406919987,0.23268290485674992
dpmlm_shap,"{'epsilon': 25, 'lambda': 0.98}",,0.5894034668372606,0.4892721743115444,0.9416403785488959,0.9069400630914827,0.09277028856029271,0.09277028856029271,10.921239924907088,0.18216029488873633,0.28387066335253486
dpmlm_shap,"{'epsilon': 25, 'lambda': 0.95}",,0.5060201374654462,0.40244969378827644,0.8257097791798107,0.7247634069400631,0.1115633513226118,0.1115633513226118,12.237210781908246,0.17634120508447548,0.2612021259977103
dpmlm_shap,"{'epsilon': 25, 'lambda': 0.9}",,0.47130045955785665,0.3734741490647002,0.5922712933753943,0.580441640378549,0.12358292241577848,0.12358292241577848,12.751217311275635,0.09420690195166936,0.06438000845197167
dpmlm_shap,"{'epsilon': 25, 'lambda': 0.8}",,0.4508759508838944,0.36035078948464777,0.5717665615141956,0.5410094637223974,0.12792563795667342,0.12792563795667342,13.094408517350157,0.05336741948594977,0.0668140315495579
dpmlm_shap,"{'epsilon': 25, 'rho': 0.9}",,0.6568604672801457,0.5628671416072991,0.9613564668769716,0.9511041009463722,0.08815700128345459,0.08815700128345459,11.848840250531813,0.16870013855374047,0.227251138761406
dpmlm_shap,"{'epsilon': 25, 'rho': 0.8}",,0.5465049198903814,0.44442361371495226,0.942429022082019,0.9274447949526814,0.10811749359222617,0.10811749359222617,18.176178693232323,0.27796663870977084,0.33336365064278584
