method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
petre_shap,{'k': 5},test,0.157805147841988,0.4515718769977458,,0.0,0.3543307086614173,,,,0.8031496062992126,2.0981146706291196,,,0.5039020440948131,
petre_shap,{'k': 7},test,0.11871779120020812,0.4399695126587327,,0.0,0.36220472440944884,,,,0.7874015748031497,2.0921824033381817,,,0.5271050748432998,
petre_shap,{'k': 10},test,0.0906041309448917,0.4152658839084739,,0.0,0.33858267716535434,,,,0.7637795275590551,2.085163863706164,,,0.5316682099254572,
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.6624652142821468,0.7043069623117542,0.366048076629448,0.5433070866141733,0.5433070866141733,0.015873015873015872,0.9282334384858044,1.9560839239429963,0.8990536277602523,1.8672601328017224,0.0873937413613503,0.13867550917933416,0.17134980867212274,27.52302545658534
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.5726533257036912,0.6323909518130666,0.2457841014741685,0.4251968503937008,0.4409448818897638,0.007936507936507936,0.9093059936908517,1.6561096798851687,0.8738170347003155,1.8641885915519785,0.09615221657211472,0.1564229689655996,0.22030382057939638,33.45509213370599
dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.5112369781830982,0.5294586775642303,0.1472011744185048,0.3700787401574803,0.30708661417322836,0.007936507936507936,0.88801261829653,2.012695865125377,0.8501577287066246,1.858187798768773,0.10608040825801693,0.1771637126568364,0.2725988773518013,39.79201430967218
dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.4740205824077981,0.4480770739488931,0.10849745813783819,0.33070866141732286,0.2047244094488189,0.007936507936507936,0.8706624605678234,1.8037027300353063,0.832807570977918,1.871467678738782,0.11309277423736801,0.19317782928796973,0.30458609290017485,43.668107157951866
dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.43526129449495055,0.3648843480396317,0.08024111516474867,0.29133858267716534,0.13385826771653545,0.007936507936507936,0.8690851735015773,1.9804839965144234,0.8209779179810726,1.8676545298060492,0.1192642696178298,0.20636897029983883,0.3341037884817362,47.244952681388014
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.6623161405206587,0.7082843669218921,0.3546440200873524,0.5511811023622047,0.5669291338582677,0.007936507936507936,0.9077287066246057,1.8889747290778967,0.8943217665615142,1.8441146372420771,0.08732435046122278,0.13388991736651218,0.18222610753040036,23.11471989333497
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.6000604189250179,0.6157149721871434,0.24320539610647013,0.48031496062992124,0.41732283464566927,0.023809523809523808,0.8935331230283912,1.8408257905116863,0.8746056782334385,1.8337061299866677,0.0976961709629474,0.15177452599494615,0.24172981155118312,28.455320797082244
